timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650011117308,418,login/login-261,200,OK,login 2-1,text,true,,595,482,2,7,https://api.demoblaze.com/login,416,0,144
1650011117327,460,Finish/index.html-299,200,OK,contact 5-1,text,true,,5171,516,1,6,https://www.demoblaze.com/index.html,456,0,204
1650011117319,473,login/login-261,200,OK,invalid login 3-1,text,true,,476,483,1,6,https://api.demoblaze.com/login,472,0,135
1650011117303,512,Register/login-3,200,OK,register 1-1,text,true,,575,485,3,6,https://api.demoblaze.com/login,506,0,148
1650011117324,550,add to cart/addtocart-55,200,OK,Purchase 4-1,text,true,,307,544,1,6,https://api.demoblaze.com/addtocart,550,0,132
1650011117788,98,Finish/node_modules/jquery/dist/jquery.min.js-301,200,OK,contact 5-1,text,true,,36326,430,1,6,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,65,0,0
1650011117886,76,Finish/css/latostyle.css-300,200,OK,contact 5-1,text,true,,969,423,1,6,https://www.demoblaze.com/css/latostyle.css,76,0,0
1650011117548,527,Register/login-3,200,OK,register 1-2,text,true,,521,485,4,8,https://api.demoblaze.com/login,523,0,91
1650011117645,430,login/login-261,200,OK,login 2-2,text,true,,700,488,2,8,https://api.demoblaze.com/login,430,0,93
1650011117963,123,Finish/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js-303,200,OK,contact 5-1,text,true,,73036,456,1,7,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,82,0,0
1650011117815,357,Register/signup-315,200,OK,register 1-1,text,true,,551,489,4,7,https://api.demoblaze.com/signup,357,0,0
1650011117874,339,/check-60,200,OK,Purchase 4-1,text,true,,616,471,1,6,https://api.demoblaze.com/check,333,0,0
1650011117798,511,Register/login-3,200,OK,register 1-3,text,true,,488,485,3,6,https://api.demoblaze.com/login,509,0,122
1650011118087,299,Finish/js/index.js-306,200,OK,contact 5-1,text,true,,2936,403,1,6,https://www.demoblaze.com/js/index.js,299,0,0
1650011118386,57,Finish/node_modules/tether/dist/js/tether.min.js-304,200,OK,contact 5-1,text,true,,9338,433,1,6,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,53,0,0
1650011118075,410,Register/signup-315,200,OK,register 1-2,text,true,,533,483,3,6,https://api.demoblaze.com/signup,408,0,0
1650011118443,61,Finish/node_modules/bootstrap/dist/js/bootstrap.min.js-305,200,OK,contact 5-1,text,true,,15313,439,1,5,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,53,0,0
1650011118504,60,Finish/node_modules/bootstrap/dist/css/bootstrap.min.css-307,200,OK,contact 5-1,text,true,,28403,455,1,5,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,53,0,0
1650011117977,593,login/login-261,200,OK,login 2-3,text,true,,585,488,1,5,https://api.demoblaze.com/login,593,0,99
1650011118565,56,Finish/node_modules/video.js/dist/video-js.min.css-308,200,OK,contact 5-1,text,true,,12500,449,1,4,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,55,0,0
1650011118213,484,/view-76,200,OK,Purchase 4-1,text,true,,792,452,1,4,https://api.demoblaze.com/view,482,0,0
1650011118309,400,Register/signup-315,200,OK,register 1-3,text,true,,558,483,2,4,https://api.demoblaze.com/signup,399,0,0
1650011118049,663,Register/login-3,200,OK,register 1-4,text,true,,553,485,1,3,https://api.demoblaze.com/login,661,0,145
1650011118621,109,Finish/node_modules/video.js/dist/video.min.js-302,200,OK,contact 5-1,text,true,,160614,431,1,3,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,61,0,0
1650011118731,54,Finish/css/latofonts.css-309,200,OK,contact 5-1,text,true,,1312,423,1,3,https://www.demoblaze.com/css/latofonts.css,54,0,0
1650011118786,270,Finish/Samsung1.jpg-310,200,OK,contact 5-1,bin,true,,27679,425,1,3,https://www.demoblaze.com/Samsung1.jpg,265,0,0
1650011118698,413,/check-77,200,OK,Purchase 4-1,text,true,,541,471,1,3,https://api.demoblaze.com/check,411,0,0
1650011119056,65,Finish/imgs/front.jpg-314,200,OK,contact 5-1,bin,true,,24949,427,1,3,https://www.demoblaze.com/imgs/front.jpg,62,0,0
1650011119121,61,Finish/nexus1.jpg-312,200,OK,contact 5-1,bin,true,,34140,423,1,3,https://www.demoblaze.com/nexus1.jpg,54,0,0
1650011118712,512,Register/signup-315,200,OK,register 1-4,text,true,,508,483,1,3,https://api.demoblaze.com/signup,511,0,0
1650011119182,258,Finish/bm.png-311,200,OK,contact 5-1,bin,true,,4263,419,1,2,https://www.demoblaze.com/bm.png,258,0,0
1650011119111,370,add to cart/addtocart-79,200,OK,Purchase 4-1,text,true,,449,481,1,2,https://api.demoblaze.com/addtocart,370,0,0
1650011119441,70,Finish/iphone1.jpg-313,200,OK,contact 5-1,bin,true,,34899,424,1,2,https://www.demoblaze.com/iphone1.jpg,54,0,0
1650011119511,54,Finish/config.json-315,200,OK,contact 5-1,text,true,,612,476,1,2,https://www.demoblaze.com/config.json,54,0,0
1650011119481,392,add to cart/addtocart-80,200,OK,Purchase 4-1,text,true,,307,544,1,2,https://api.demoblaze.com/addtocart,392,0,0
1650011119565,447,Finish/check-316,200,OK,contact 5-1,text,true,,449,477,1,2,https://api.demoblaze.com/check,447,0,77
1650011119874,412,/view-99,200,OK,Purchase 4-1,text,true,,823,452,1,2,https://api.demoblaze.com/view,412,0,0
1650011120012,333,Finish/entries-317,200,OK,contact 5-1,text,true,,1480,392,1,2,https://api.demoblaze.com/entries,329,0,0
1650011120346,318,Finish/imgs/Nexus_6.jpg-321,200,OK,contact 5-1,bin,true,,232097,429,1,2,https://www.demoblaze.com/imgs/Nexus_6.jpg,258,0,0
1650011120287,524,/check-100,200,OK,Purchase 4-1,text,true,,669,471,1,2,https://api.demoblaze.com/check,522,0,0
1650011120665,267,Finish/imgs/galaxy_s6.jpg-319,200,OK,contact 5-1,bin,true,,107733,431,1,2,https://www.demoblaze.com/imgs/galaxy_s6.jpg,256,0,0
1650011120811,406,add to cart/addtocart-102,200,OK,Purchase 4-1,text,true,,449,481,1,2,https://api.demoblaze.com/addtocart,406,0,0
1650011120933,311,Finish/imgs/HTC_M9.jpg-324,200,OK,contact 5-1,bin,true,,97234,428,1,2,https://www.demoblaze.com/imgs/HTC_M9.jpg,301,0,0
1650011121218,467,add to cart/addtocart-103,200,OK,Purchase 4-1,text,true,,307,544,1,2,https://api.demoblaze.com/addtocart,467,0,0
1650011121244,583,Finish/check-318,200,OK,contact 5-1,text,true,,507,471,1,2,https://api.demoblaze.com/check,582,0,0
1650011121686,387,/check-105,200,OK,Purchase 4-1,text,true,,449,477,1,2,https://api.demoblaze.com/check,387,0,0
1650011121828,294,Finish/imgs/Lumia_1520.jpg-320,200,OK,contact 5-1,bin,true,,145514,432,1,2,https://www.demoblaze.com/imgs/Lumia_1520.jpg,269,0,0
1650011122122,449,Finish/imgs/sony_vaio_5.jpg-325,200,OK,contact 5-1,bin,true,,90771,433,1,2,https://www.demoblaze.com/imgs/sony_vaio_5.jpg,436,0,0
1650011122074,635,/entries-106,200,OK,Purchase 4-1,text,true,,1578,392,1,2,https://api.demoblaze.com/entries,635,0,0
1650011122571,182,Finish/imgs/xperia_z5.jpg-323,200,OK,contact 5-1,bin,true,,143968,431,1,2,https://www.demoblaze.com/imgs/xperia_z5.jpg,146,0,0
1650011122753,377,Finish/imgs/iphone_6.jpg-322,200,OK,contact 5-1,bin,true,,201243,430,1,2,https://www.demoblaze.com/imgs/iphone_6.jpg,291,0,0
1650011122709,422,/check-108,200,OK,Purchase 4-1,text,true,,735,471,1,2,https://api.demoblaze.com/check,422,0,0
1650011123131,579,openingcart/cart.html-109,200,OK,Purchase 4-1,text,true,,5843,510,1,1,https://www.demoblaze.com/cart.html,577,0,310
1650011123711,310,openingcart/node_modules/bootstrap/dist/css/bootstrap.min.css-110,200,OK,Purchase 4-1,text,true,,28502,428,1,1,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,258,0,0
1650011124021,56,openingcart/css/latostyle.css-114,200,OK,Purchase 4-1,text,true,,943,396,1,1,https://www.demoblaze.com/css/latostyle.css,56,0,0
1650011124078,281,openingcart/node_modules/jquery/dist/jquery.min.js-115,200,OK,Purchase 4-1,text,true,,36161,403,1,1,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,262,0,0
1650011124359,92,openingcart/node_modules/bootstrap-sweetalert/dist/sweetalert.css-111,200,OK,Purchase 4-1,text,true,,3424,432,1,1,https://www.demoblaze.com/node_modules/bootstrap-sweetalert/dist/sweetalert.css,92,0,0
1650011124452,268,openingcart/css/latofonts.css-113,200,OK,Purchase 4-1,text,true,,1347,396,1,1,https://www.demoblaze.com/css/latofonts.css,268,0,0
1650011124722,106,openingcart/node_modules/tether/dist/js/tether.min.js-118,200,OK,Purchase 4-1,text,true,,9400,406,1,1,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,106,0,0
1650011124829,184,openingcart/node_modules/video.js/dist/video-js.min.css-112,200,OK,Purchase 4-1,text,true,,12348,422,1,1,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,85,0,0
1650011125014,135,openingcart/node_modules/video.js/dist/video.min.js-116,200,OK,Purchase 4-1,text,true,,160170,404,1,1,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,58,0,0
1650011125150,107,openingcart/node_modules/bootstrap/dist/js/bootstrap.min.js-119,200,OK,Purchase 4-1,text,true,,15334,412,1,1,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,106,0,0
1650011125257,129,openingcart/bm.png-122,200,OK,Purchase 4-1,bin,true,,4263,392,1,1,https://www.demoblaze.com/bm.png,129,0,0
1650011125386,79,openingcart/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js-117,200,OK,Purchase 4-1,text,true,,72826,429,1,1,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,72,0,0
1650011125465,52,openingcart/js/cart.js-120,200,OK,Purchase 4-1,text,true,,2976,375,1,1,https://www.demoblaze.com/js/cart.js,52,0,0
1650011125518,126,openingcart/node_modules/bootstrap-sweetalert/dist/sweetalert.min.js-121,200,OK,Purchase 4-1,text,true,,16949,421,1,1,https://www.demoblaze.com/node_modules/bootstrap-sweetalert/dist/sweetalert.min.js,126,0,0
1650011125645,256,openingcart/config.json-123,200,OK,Purchase 4-1,text,true,,461,449,1,1,https://www.demoblaze.com/config.json,256,0,0
1650011125901,528,openingcart/check-124,200,OK,Purchase 4-1,text,true,,449,477,1,1,https://api.demoblaze.com/check,528,0,0
1650011126430,357,openingcart/viewcart-125,200,OK,Purchase 4-1,text,true,,449,480,1,1,https://api.demoblaze.com/viewcart,357,0,0
1650011126788,328,openingcart/check-126,200,OK,Purchase 4-1,text,true,,576,471,1,1,https://api.demoblaze.com/check,326,0,0
1650011127116,416,openingcart/viewcart-127,200,OK,Purchase 4-1,text,true,,750,487,1,1,https://api.demoblaze.com/viewcart,416,0,0
1650011127532,340,openingcart/view-130,200,OK,Purchase 4-1,text,true,,449,476,1,1,https://api.demoblaze.com/view,340,0,0
1650011127873,339,openingcart/view-131,200,OK,Purchase 4-1,text,true,,449,476,1,1,https://api.demoblaze.com/view,339,0,0
1650011128213,278,openingcart/view-128,200,OK,Purchase 4-1,text,true,,449,476,1,1,https://api.demoblaze.com/view,278,0,0
1650011128492,260,openingcart/view-129,200,OK,Purchase 4-1,text,true,,449,476,1,1,https://api.demoblaze.com/view,260,0,0
1650011128752,306,openingcart/view-132,200,OK,Purchase 4-1,text,true,,932,449,1,1,https://api.demoblaze.com/view,306,0,0
1650011129059,325,openingcart/view-133,200,OK,Purchase 4-1,text,true,,821,449,1,1,https://api.demoblaze.com/view,322,0,0
1650011129384,274,openingcart/view-134,200,OK,Purchase 4-1,text,true,,690,449,1,1,https://api.demoblaze.com/view,271,0,0
1650011129658,68,openingcart/imgs/galaxy_s6.jpg-137,200,OK,Purchase 4-1,bin,true,,107733,404,1,1,https://www.demoblaze.com/imgs/galaxy_s6.jpg,56,0,0
1650011129726,127,openingcart/imgs/iphone_6.jpg-138,200,OK,Purchase 4-1,bin,true,,201243,403,1,1,https://www.demoblaze.com/imgs/iphone_6.jpg,53,0,0
1650011129853,304,openingcart/view-135,200,OK,Purchase 4-1,text,true,,739,449,1,1,https://api.demoblaze.com/view,304,0,0
1650011130158,265,openingcart/imgs/sony_vaio_5.jpg-136,200,OK,Purchase 4-1,bin,true,,90771,406,1,1,https://www.demoblaze.com/imgs/sony_vaio_5.jpg,254,0,0
1650011130424,1161,openingcart/imgs/Nexus_6.jpg-139,200,OK,Purchase 4-1,bin,true,,232440,402,1,1,https://www.demoblaze.com/imgs/Nexus_6.jpg,323,0,0
1650011131585,295,deleting item/deleteitem-140,200,OK,Purchase 4-1,text,true,,449,482,1,1,https://api.demoblaze.com/deleteitem,295,0,0
1650011131881,358,deleting item/deleteitem-141,200,OK,Purchase 4-1,text,true,,316,493,1,1,https://api.demoblaze.com/deleteitem,358,0,0
1650011132239,56,deleting item/cart.html-142,200,OK,Purchase 4-1,text,true,,5856,482,1,1,https://www.demoblaze.com/cart.html,56,0,0
1650011132295,260,deleting item/node_modules/video.js/dist/video-js.min.css-147,200,OK,Purchase 4-1,text,true,,12169,448,1,1,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,259,0,0
1650011132555,291,deleting item/css/latostyle.css-144,200,OK,Purchase 4-1,text,true,,1104,422,1,1,https://www.demoblaze.com/css/latostyle.css,291,0,0
1650011132847,52,deleting item/node_modules/bootstrap-sweetalert/dist/sweetalert.css-145,200,OK,Purchase 4-1,text,true,,3439,458,1,1,https://www.demoblaze.com/node_modules/bootstrap-sweetalert/dist/sweetalert.css,52,0,0
1650011132899,53,deleting item/node_modules/bootstrap/dist/css/bootstrap.min.css-143,200,OK,Purchase 4-1,text,true,,28449,454,1,1,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,50,0,0
1650011132953,59,deleting item/node_modules/jquery/dist/jquery.min.js-146,200,OK,Purchase 4-1,text,true,,36164,429,1,1,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,57,0,0
1650011133013,81,deleting item/node_modules/video.js/dist/video.min.js-148,200,OK,Purchase 4-1,text,true,,160788,430,1,1,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,57,0,0
1650011133094,56,deleting item/css/latofonts.css-149,200,OK,Purchase 4-1,text,true,,1429,422,1,1,https://www.demoblaze.com/css/latofonts.css,56,0,0
1650011133150,92,deleting item/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js-150,200,OK,Purchase 4-1,text,true,,232712,455,1,1,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,51,0,0
1650011133243,69,deleting item/node_modules/tether/dist/js/tether.min.js-151,200,OK,Purchase 4-1,text,true,,9286,432,1,1,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,69,0,0
1650011133312,270,deleting item/node_modules/bootstrap-sweetalert/dist/sweetalert.min.js-153,200,OK,Purchase 4-1,text,true,,6705,447,1,1,https://www.demoblaze.com/node_modules/bootstrap-sweetalert/dist/sweetalert.min.js,266,0,0
